BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Total_delay_ms_Raw,Total_delay_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Raw,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,Total_duration_s,HasEventRace
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver core #_normalizeEntryData should support prefix of the entry name,16509,0.006830601092896175,4,0,10846.930169001222,0.35009472822814547,0,0,0,0,4,0,16.487,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver core #_normalizeEntryData should support special bits on unix,16504,0,4,0,5700.625625001267,0,0,0,0,0,4,0,13.334,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #abort should have a state of aborted,16554,0.06830601092896176,6,0.1,12241.028222998604,0.44493295149393214,0,0,0,0,6,0.023529411764705882,16.193,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append multiple entries,16604,0.1366120218579235,10,0.3,12588.469673002139,0.46856882826224283,0,0,0,0,12,0.09411764705882353,18.301,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append buffer,16609,0.14344262295081966,10,0.3,13105.20313699916,0.5037213654076285,0,0,0,0,12,0.09411764705882353,18.271,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append stream,16609,0.14344262295081966,10,0.3,13425.753845999017,0.5255279088003013,0,0,0,0,12,0.09411764705882353,18.758,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append directory,16609,0.14344262295081966,10,0.3,8336.947265995666,0.17934467354870964,0,0,0,0,12,0.09411764705882353,15.968,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should append multiple entries,17129,0.8538251366120219,24,1,12873.357595995069,0.48794929032447626,0,0,0,0,89,1,16.529,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should support setting data properties via function,17118,0.8387978142076503,24,1,17672.80663599819,0.81444800273817,0,0,0,0,89,1,18.694,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should support ignoring matches via function,17117,0.837431693989071,24,1,18179.261346006766,0.8489012929669882,0,0,0,0,89,1,19.051,Undefined
