BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver core #_normalizeEntryData should support prefix of the entry name",16509,0.006830601092896175,4,0,11477.87414499931,0.2544974751535314,4,0,8,0.09090909090909091,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"16.003",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver core #_normalizeEntryData should support special bits on unix",16504,0,4,0,10315.168423000723,0.1205496152732308,4,0,9,0.18181818181818182,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"17.192",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #abort should have a state of aborted",16554,0.06830601092896176,6,0.1,9835.460811001249,0.06528558175220434,6,0.3333333333333333,7,0,0,0,0,0,6,0.023529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,"15.045",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #append should append multiple entries",16604,0.1366120218579235,10,0.3,10227.915865000337,0.11049780836103631,7,0.5,13,0.5454545454545454,0,0,0,0,12,0.09411764705882353,1,0,90,0.03665987780040733,0,0,90,0.03665987780040733,100,1,0,0,"16.637",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #append should append buffer",16609,0.14344262295081966,10,0.3,12960.145112000406,0.42526039481235595,6,0.3333333333333333,12,0.45454545454545453,0,0,0,0,12,0.09411764705882353,1,0,91,0.038696537678207736,0,0,91,0.038696537678207736,100,1,0,0,"18.272",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #append should append stream",16609,0.14344262295081966,10,0.3,10905.842057001777,0.18859733161727854,7,0.5,12,0.45454545454545453,0,0,0,0,12,0.09411764705882353,1,0,77,0.010183299389002037,0,0,77,0.010183299389002037,100,1,0,0,"19.314",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #append should append directory",16609,0.14344262295081966,10,0.3,12898.927356000058,0.4182078902552906,7,0.5,15,0.7272727272727273,0,0,0,0,12,0.09411764705882353,1,0,72,0,0,0,72,0,100,1,0,0,"20.109",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #directory should append multiple entries",17129,0.8538251366120219,24,1,15305.227219999768,0.695422245456865,9,0.8333333333333334,12,0.45454545454545453,0,0,0,0,89,1,1,0,252,0.3665987780040733,0,0,252,0.3665987780040733,100,1,0,0,"21.918",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #directory should support setting data properties via function",17118,0.8387978142076503,24,1,16119.328949999996,0.7892096779904716,9,0.8333333333333334,14,0.6363636363636364,0,0,0,0,89,1,1,0,262,0.3869653767820774,0,0,262,0.3869653767820774,100,1,0,0,"22.017",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #directory should support ignoring matches via function",17117,0.837431693989071,24,1,15582.023976000957,0.7273102222567368,9,0.8333333333333334,14,0.6363636363636364,0,0,0,0,89,1,1,0,220,0.3014256619144603,0,0,220,0.3014256619144603,100,1,0,0,"21.133",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #directory should find dot files",17117,0.837431693989071,24,1,10243.560357999988,0.11230010993792498,9,0.8333333333333334,13,0.5454545454545454,0,0,0,0,89,1,1,0,226,0.3136456211812627,0,0,226,0.3136456211812627,100,1,0,0,"17.976",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,"archiver api #directory should handle windows path separators in prefix",17117,0.837431693989071,24,1,14834.267906999215,0.6411660472860288,10,1,14,0.6363636363636364,0,0,0,0,89,1,1,0,293,0.45010183299389,0,0,293,0.45010183299389,100,1,0,0,"19.927",Undefined
