BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support copy",197,0.001597444089456869,6,0.0014211274277593558,378.11371100042015,0.015383738750277326,1,0.022727272727272728,2,0,0,0,0,0,3,0.002061855670103093,3,0.025,27.666666666666668,0.016877512704825376,0,0,58,0.018823529411764704,100,1,0,0,"6.012",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support emptyDir",194,0.0012551346417161114,6,0.0014211274277593558,315.8860969990492,0.012828674213566569,1,0.022727272727272728,2,0,0,0,0,0,3,0.002061855670103093,3,0.025,38.333333333333336,0.026943076484523217,0,0,73,0.03058823529411765,100,1,0,0,"6.001",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support ensureFile",194,0.0012551346417161114,6,0.0014211274277593558,412.8478650012985,0.016809922391166063,1,0.022727272727272728,4,0.023529411764705882,0,0,0,0,3,0.002061855670103093,3,0.025,37.666666666666664,0.026313978748292097,0,0,64,0.023529411764705882,100,1,0,0,"5.949",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support ensureDir",195,0.0013692377909630307,6,0.0014211274277593558,662.44280599989,0.027058285477590437,1,0.022727272727272728,4,0.023529411764705882,0,0,0,0,3,0.002061855670103093,3,0.025,32.333333333333336,0.021281196858443183,0,0,65,0.02431372549019608,100,1,0,0,"6.277",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support mkdirs",195,0.0013692377909630307,6,0.0014211274277593558,463.6159700024873,0.01889445972665972,1,0.022727272727272728,3,0.011764705882352941,0,0,0,0,3,0.002061855670103093,3,0.025,29,0.018135708177287605,0,0,59,0.0196078431372549,100,1,0,0,"6.158",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support move",193,0.0011410314924691922,6,0.0014211274277593558,184.10547900013626,0.0074177647792528665,1,0.022727272727272728,4,0.023529411764705882,0,0,0,0,3,0.002061855670103093,3,0.025,28.666666666666668,0.01782115930917205,0,0,59,0.0196078431372549,100,1,0,0,"6.164",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support readJson",193,0.0011410314924691922,5,0.0009474182851729038,12.706258999183774,0.00038011637070758177,0,0,6,0.047058823529411764,0,0,0,0,3,0.002061855670103093,3,0.025,36,0.02474123440771431,0,0,74,0.03137254901960784,100,1,0,0,"5.957",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support readJSON",193,0.0011410314924691922,5,0.0009474182851729038,27.438601999543607,0.0009850260679048588,0,0,4,0.023529411764705882,0,0,0,0,3,0.002061855670103093,3,0.025,32.333333333333336,0.021281196858443183,0,0,56,0.017254901960784313,100,1,0,0,"5.928",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support remove",195,0.0013692377909630307,6,0.0014211274277593558,364.7772669987753,0.014836144636935925,1,0.022727272727272728,4,0.023529411764705882,0,0,0,0,3,0.002061855670103093,3,0.025,28.333333333333332,0.01750661044105649,0,0,50,0.012549019607843137,100,1,0,0,"5.804",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,"promise support provides fse.promises API",193,0.0011410314924691922,4,0.0004737091425864519,4.193554000928998,0.000030584880523144006,0,0,2,0,0,0,0,0,2,0.0010309278350515464,2,0,36.5,0.025213057709887646,0,0,58,0.018823529411764704,100,1,0,0,"6.074",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/copy/__tests__/copy-case-insensitive-paths.test.js,"+ copy() - case insensitive paths > when src is a directory should behave correctly based on the OS",501,0.03628480146052031,96,0.04405495026054003,4099.20202899538,0.16817154769741344,8,0.18181818181818182,3,0.011764705882352941,0,0,0,0,48,0.04845360824742268,6,0.1,47.166666666666664,0.03527862148958548,0,0,136,0.08,100,1,0,0,"6.435",Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/copy/__tests__/copy-case-insensitive-paths.test.js,"+ copy() - case insensitive paths > when src is a file should behave correctly based on the OS",305,0.013920584208124144,40,0.01752723827569872,3429.4026319989935,0.14066959838696724,7,0.1590909090909091,4,0.023529411764705882,0,0,0,0,20,0.01958762886597938,6,0.1,29.333333333333332,0.01845025704540316,0,0,98,0.05019607843137255,100,1,0,0,"6.528",Undefined
