BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert documents with native JS types,38,0.013386880856760375,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,79,0.4583333333333333,0,0,94,0.12,100,1,0,0,9.037,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert ObjectID to BSON,42,0.01606425702811245,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,47.5,0.19583333333333333,0,0,65,0.062,100,1,0,0,9.004,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert ISODate to BSON,42,0.01606425702811245,0,0,0,0,0,0,5,0.09090909090909091,0,0,0,0,2,0,2,0,63,0.325,0,0,79,0.09,100,1,0,0,9.001,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert Timestamp to BSON,40,0.014725568942436412,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,44.5,0.17083333333333334,0,0,61,0.054,100,1,0,0,9.389,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert DBRef to BSON,81,0.04216867469879518,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,43,0.15833333333333333,0,0,53,0.038,100,1,0,0,9.227,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert Symbol to BSON,39,0.014056224899598393,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,45.5,0.17916666666666667,0,0,62,0.056,100,1,0,0,9.156,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert MinKey to BSON,39,0.014056224899598393,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,62,0.31666666666666665,0,0,71,0.074,100,1,0,0,8.917,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert MaxKey to BSON,39,0.014056224899598393,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,47,0.19166666666666668,0,0,65,0.062,100,1,0,0,9.61,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toBSON should convert Code to BSON,42,0.01606425702811245,0,0,0,0,0,0,2,0.022727272727272728,0,0,0,0,2,0,2,0,45.5,0.17916666666666667,0,0,60,0.052,100,1,0,0,9.036,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toString should convert simple documents,75,0.03815261044176707,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,85.5,0.5125,0,0,103,0.138,100,1,0,0,9.453,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toString should convert ObjectID to string,55,0.024765729585006693,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,144,1,0,0,202,0.336,100,1,0,0,9.769,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toString should convert ISODate to string,50,0.0214190093708166,0,0,0,0,0,0,4,0.06818181818181818,0,0,0,0,2,0,2,0,87.5,0.5291666666666667,0,0,105,0.142,100,1,0,0,9.79,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toString should convert Timestamp to string,57,0.02610441767068273,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,47,0.19166666666666668,0,0,49,0.03,100,1,0,0,9.377,False
mongo-express,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express/test/lib/bsonSpec.js,BSON toString should convert DBRef to string,69,0.03413654618473896,0,0,0,0,0,0,3,0.045454545454545456,0,0,0,0,2,0,2,0,52,0.23333333333333334,0,0,62,0.056,100,1,0,0,9.224,False
