BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver core #_normalizeEntryData should support prefix of the entry name",16509,0.006830601092896175,4,0,7455.042655000463,0,4,0,8,0.09090909090909091,0,0,0,0,4,0,2,1,67.5,0.29411764705882354,0,0,118,0.6363636363636364,100,1,0,0,"14.194",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver core #_normalizeEntryData should support special bits on unix",16504,0,4,0,9428.950178001076,0.22429685553683965,4,0,7,0,0,0,0,0,4,0,2,1,157.5,1,0,0,161,0.9917355371900827,100,1,0,0,"14.935",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #abort should have a state of aborted",16554,0.06830601092896176,6,0.1,9573.798871001229,0.240756140477994,5,0.2,7,0,0,0,0,0,6,0.023529411764705882,2,1,63.5,0.2627450980392157,0,0,102,0.5041322314049587,100,1,0,0,"15.121",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #append should append multiple entries",16604,0.1366120218579235,10,0.3,9633.026375999674,0.24748621419099626,7,0.6,12,0.45454545454545453,0,0,0,0,12,0.09411764705882353,2,1,122.5,0.7254901960784313,0,0,138,0.8016528925619835,100,1,0,0,"15.657",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #append should append buffer",16609,0.14344262295081966,10,0.3,10581.197200002149,0.35522770251170477,7,0.6,12,0.45454545454545453,0,0,0,0,12,0.09411764705882353,2,1,122.5,0.7254901960784313,0,0,137,0.7933884297520661,100,1,0,0,"16.853",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #append should append stream",16609,0.14344262295081966,10,0.3,10370.944577002898,0.3313365112286317,7,0.6,12,0.45454545454545453,0,0,0,0,12,0.09411764705882353,2,1,76.5,0.36470588235294116,0,0,116,0.6198347107438017,100,1,0,0,"16.103",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #append should append directory",16609,0.14344262295081966,10,0.3,9344.46917999722,0.21469720510535747,6,0.4,12,0.45454545454545453,0,0,0,0,12,0.09411764705882353,2,1,74,0.34509803921568627,0,0,115,0.6115702479338843,100,1,0,0,"16.042",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #directory should append multiple entries",17129,0.8538251366120219,24,1,13117.296643996611,0.643406922656715,8,0.8,11,0.36363636363636365,0,0,0,0,89,1,2,1,70.5,0.3176470588235294,0,0,118,0.6363636363636364,100,1,0,0,"17.362",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #directory should support setting data properties via function",17118,0.8387978142076503,24,1,12712.052300002426,0.597358649866401,9,1,11,0.36363636363636365,0,0,0,0,89,1,2,1,76,0.3607843137254902,0,0,117,0.628099173553719,100,1,0,0,"17.603",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #directory should support ignoring matches via function",17117,0.837431693989071,24,1,12825.582971001044,0.6102592403019994,9,1,13,0.5454545454545454,0,0,0,0,89,1,2,1,77,0.3686274509803922,0,0,119,0.6446280991735537,100,1,0,0,"17.301",Undefined
