BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/testcases/testcase1.js,"reveal event race",85,0.1597222222222222,18,0.625,1629.1895490009338,1,5,1,0,0,0,0,0,0,5,0.3333333333333333,6,0.13333333333333333,57.5,0.3353777529969334,0,0,166,0.7547169811320755,100,1,0,0,"7.667",True
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write async should write files",122,0.4166666666666667,27,1,748.0710809980519,0.31204217970633985,1,0,0,0,1,0.16666666666666666,5,0.7142857142857143,9,1,32,1,25.59375,0.05073877892389183,0,0,192,1,100,1,126.12451600003988,0.7221311349047654,"7.363",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write async should not overwrite files when specified",97,0.24305555555555555,7,0.16666666666666666,431.05983100039884,0.0645268041050641,1,0,0,0,6,1,5,0.7142857142857143,4,0.16666666666666666,2,0,77.5,0.5137998327293003,0,0,86,0,100,1,21.97735600033775,0.1258322611182503,"7.052",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write async should automatically rename files to avoid conflicts",167,0.7291666666666666,27,1,873.2100620013662,0.40974792953580347,1,0,0,0,1,0.16666666666666666,5,0.7142857142857143,9,1,32,1,21.65625,0.015611931976582102,0,0,183,0.9150943396226415,100,1,137.75331799965352,0.7887123219085764,"7.940",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write async should take a callback",62,0,8,0.20833333333333334,735.0968229989521,0.30191216589194425,3,0.5,0,0,0,0,0,0,5,0.3333333333333333,8,0.2,56.625,0.3275717870086423,0,0,136,0.4716981132075472,100,1,0,0,"7.765",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write async should just write given data by default",64,0.013888888888888888,9,0.25,646.0784200006165,0.23240856482503605,1,0,0,0,0,0,0,0,6,0.5,8,0.2,33.25,0.11904098132143853,0,0,96,0.09433962264150944,100,1,0,0,"7.217",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write async should add a new line at the end of the file if none",137,0.5208333333333334,27,1,824.0297119989991,0.37134899951950845,2,0.25,0,0,1,0.16666666666666666,5,0.7142857142857143,9,1,32,1,19.90625,0,0,0,185,0.9339622641509434,100,1,174.6559729995206,1,"6.862",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write sync should write files using .sync",83,0.14583333333333334,3,0,348.41557999979705,0,1,0,1,0.5,0,0,0,0,3,0,2,0,82,0.5539448006690828,0,0,90,0.03773584905660377,100,1,0,0,"6.568",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write sync should not overwrite existing files when specified",206,1,9,0.25,382.14223700016737,0.026333028166299646,1,0,2,1,0,0,0,0,5,0.3333333333333333,2,0,132,1,0,0,144,0.5471698113207547,100,1,0,0,"6.947",Undefined
write-f537eb6,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/nodert/explore/write-f537eb6/test/test.js,"write sync should not overwrite existing files when specified",206,1,9,0.25,458.53310999972746,0.08597733297609883,1,0,2,1,0,0,0,0,5,0.3333333333333333,2,0,93,0.6520769445218846,0,0,108,0.20754716981132076,100,1,0,0,"6.926",Undefined
