BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible allows 1 request with 1 free try,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible allows 2 requests with 2 free try,1
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible works 0 free try,2
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible blocks the second request when no free tries and calls failCallback,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible maxWait limits maximum block duration on high traffic,4
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible block time grows fibonacci-like way,4
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible attaches reset to request by default and reset works,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible does not attach request if option is false,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible getMiddleware returns middleware function and works,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible ignores IP from key if getMiddleware is with option ignoreIP=false,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible memory limiters created internally by storeType,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible memcache limiters created internally by storeType,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible mongo limiters created internally by storeType,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible redis limiters created internally by storeType,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible mysql limiters created internally by storeType,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible postgres limiters created internally by storeType,1
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible global reset works,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/ExpressBruteFlexible.test.js,ExpressBruteFlexible global reset launches handleStoreError function,2
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  consume if not blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  rejected on consume if blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  block if not blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  block resolved if blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  penalty if not blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  penalty resolved if blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  reward if not blacked,0
animir_node-rate-limiter-flexible,/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible/test/RLWrapperBlackAndWhite.test.js,RLWrapperBlackAndWhite  reward resolved if blacked,0
