BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/integration/render.js,full docsify initialization TODO: check generated markup,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/integration/router.js,router TODO: trigger to load another page,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/base.js,router/history/base toURL without relative path,0
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/base.js,router/history/base relativePath true toURL,0
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/base.js,router/history/base relativePath true toURL with double dot,0
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/base.js,router/history/base relativePath true toURL child path,0
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/base.js,router/history/base relativePath true toURL absolute path,0
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/render.js,render important content (tips),5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/render.js,render lists as unordered task list,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/render.js,render lists as ordered task list,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/render.js,render lists normal unordered,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/render.js,render lists unordered with custom start,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/render.js,render lists nested,5
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/util.js,router/util resolvePath,2
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/util.js,router/util resolvePath with dot,1
QingWei,/home/pedroubuntu/Downloads/nacd/QingWei-Li_docsify/test/unit/util.js,router/util resolvePath with two dots,1
