,BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
0,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Constructor compatibility with v0.6.*,0
1,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Autoloading Can autoload a database and query it right away,1
2,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Autoloading Throws if autoload fails,0
3,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Able to insert a document in the database.* setting an _id if none provided.* and retrieve it even after a reload,0
4,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Can insert multiple documents in the database,0
5,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Can insert and get back from DB complex objects with all primitive and secondary types,1
6,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If an object returned from the DB is modified and refetched.* the original value should be found,1
7,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Cannot insert a doc that has a field beginning with a $ sign,0
8,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If an _id is already given when we insert a document.* use that instead of generating a random one,1
9,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Modifying the insertedDoc after an insert doesnt change the copy saved in the database,1
10,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Can insert an array of documents at once,0
11,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If a bulk insert violates a constraint.* all changes are rolled back,0
12,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If timestampData option is set.* a createdAt field is added and persisted,0
13,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If timestampData option not set.* don.*t create a createdAt and a updatedAt field,1
14,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If timestampData is set but createdAt is specified by user.* don.*t change it,0
15,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If timestampData is set but updatedAt is specified by user.* don.*t change it,1
16,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert Can insert a doc with id 0,1
17,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Insert If the callback throws an uncaught exception.* do not catch it inside findOne.* this is userspace concern,0
18,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates Can use an index to get docs with a basic match,0
19,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates Can use an index to get docs with a $in match,0
20,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates If no index can be used.* return the whole database,1
21,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates Can use indexes for comparison matches,0
22,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates Can set a TTL index that expires documents,1
23,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates TTL indexes can expire multiple documents and only what needs to be expired,1
24,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database #getCandidates Document where indexed field is absent or not a date are ignored,0
25,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Find Can find all documents if an empty query is used,0
26,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Find Can find all documents matching a basic query,0
27,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Find Can find one document matching a basic query and return null if none is found,1
28,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Find Can find dates and objects .*non JS.*native types.*,1
29,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Find Can use dot.*notation to query subfields,0
30,nedb,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/nedb/test/db.test.js,Database Find Array fields match if any element matches,1
