,BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
0,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver core #_normalizeEntryData should support prefix of the entry name,0
1,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver core #_normalizeEntryData should support special bits on unix,0
2,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #abort should have a state of aborted,0
3,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append multiple entries,0
4,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append buffer,0
5,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append stream,1
6,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append directory,1
7,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should append multiple entries,3
8,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should support setting data properties via function,3
9,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should support ignoring matches via function,4
10,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should find dot files,3
11,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should handle windows path separators in prefix,3
12,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should append multiple entries,1
13,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should append filepath,3
14,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should fallback to filepath when no name is set,3
15,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should fallback to file stats when applicable,1
16,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #glob should append multiple entries,1
17,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #promise should use a promise,0
18,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #errors should allow continue on stat failing,2
19,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append multiple entries,1
20,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append buffer,1
21,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append stream,1
22,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append folder,1
23,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append manual symlink,1
24,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append via directory,1
25,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should retain symlinks via directory,1
26,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append multiple entries,3
27,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append buffer,4
28,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append stream,4
29,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append via file,4
30,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append via directory,2
31,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append manual symlink,3
32,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should allow for custom unix mode,2
33,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should allow for entry comments,4
34,node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should allow for archive comment,4
