pathProjectFolder,testFile,testName,positiveLabels,numberOfIteration,numberOfFails,firstFail
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible allows 1 request with 1 free try,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible allows 2 requests with 2 free try,1,12,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible works 0 free try,2,14,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible blocks the second request when no free tries and calls failCallback,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible maxWait limits maximum block duration on high traffic,4,18,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible block time grows fibonacci-like way,4,18,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible attaches reset to request by default and reset works,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible does not attach request if option is false,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible getMiddleware returns middleware function and works,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible ignores IP from key if getMiddleware is with option ignoreIP=false,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible memory limiters created internally by storeType,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible memcache limiters created internally by storeType,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible mongo limiters created internally by storeType,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible redis limiters created internally by storeType,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible mysql limiters created internally by storeType,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible postgres limiters created internally by storeType,1,12,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible global reset works,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,ExpressBruteFlexible global reset launches handleStoreError function,2,14,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume if not blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  rejected on consume if blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  block if not blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  block resolved if blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  penalty if not blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  penalty resolved if blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  reward if not blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  reward resolved if blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  get if not blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  get resolved if blacked,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  resolve consume if whited,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  resolve block if whited,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  resolve penalty if whited,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  resolve reward if whited,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  resolve get if whited,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume resolved if in white and in black,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume resolved if legacy isWhite func returns true,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume resolved if isWhiteListed func returns true,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume rejected if legacy isBlack func returns true,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume rejected if isBlackListed func returns true,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  consume even if black listed when runAction set to true,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  block even if black listed when runAction set to true,0,10,0,0
/home/pedroubuntu/Downloads/nacd/animir_node-rate-limiter-flexible,test,RLWrapperBlackAndWhite  penalty even if blacked when runAction set to true,0,10,0,0
