pathProjectFolder,testFile,testName,positiveLabels,numberOfIteration,numberOfFails,firstFail
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert documents with native JS types,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert ObjectID to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert ISODate to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert Timestamp to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert DBRef to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert Symbol to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert MinKey to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert MaxKey to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toBSON should convert Code to BSON,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert simple documents,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert ObjectID to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert ISODate to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert Timestamp to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert DBRef to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert Symbol to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert MinKey to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert MaxKey to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toString should convert Code to string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toJsonString should convert to a valid JSON string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,BSON toJsonString shouldn.*t convert lone parenthesis to },0,3,3,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,CSV should handle nested objects,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,CSV should handle schema difference between objects,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,CSV should handle mongo ObjectID,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,CSV should handle simple array,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,CSV should handle complex array,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,filters to_display should escape properly a string,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,filters to_display should escape properly an object,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,Router collection GET /db/.*dbName.*/.*collection.* should return html,5,28,28,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,Router database GET /db/.*dbName.* should return html,4,23,23,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,Router document GET /db/.*dbName.*/.*collection.*/.*document.* should return html,5,28,28,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,Router index GET / should return html,4,23,21,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,utils isValidDatabaseName should be valid,0,3,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/mongo-express,test/lib,utils isValidDatabaseName should be invalid,0,3,0,0
