pathProjectFolder,testFile,testName,positiveLabels,numberOfIteration,numberOfFails,firstFail
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils isSubclassOf should return true for subclass constructor,0,5,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils isSubclassOf should return false if one of the inputs is not a constructor,0,5,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils mixin should mixin rest of the arguments to the first argument,0,5,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils compose should compose multiple functions,0,5,0,0
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions * .*.*.* * .*.*.* *,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions foo .*.*.* foo .*.*.* foo,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBar .*.*.* foo_bar .*.*.* fooBar,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions foo1Bar2 .*.*.* foo1_bar2 .*.*.* foo1Bar2,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBAR .*.*.* foo_bar .*.*.* fooBar,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBaR .*.*.* foo_ba_r .*.*.* fooBaR,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions föö .*.*.* föö .*.*.* föö,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fööBär .*.*.* föö_bär .*.*.* fööBär,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions föö1Bär2 .*.*.* föö1_bär2 .*.*.* föö1Bär2,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fööBÄR .*.*.* föö_bär .*.*.* fööBär,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fööBäR .*.*.* föö_bä_r .*.*.* fööBäR,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions foo1bar2 .*.*.* foo1bar2 .*.*.* foo1bar2,0,5,5,1
/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js,tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions Foo .*.*.* foo .*.*.* foo,0,5,5,1
