pathProjectFolder,testFile,testName,positiveLabels,numberOfIteration,numberOfFails,firstFail
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should be created and be empty,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should be possible to append once,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should be possible to append multiple times,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should be possible to shift an empty list,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should be possible to append then shift once,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should be possible to append then shift multiple times,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should pass a full test,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,DLList Should return the first value without shifting,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,Batcher Should batch by time and size,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,Batcher Should batch by time,2,13,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,Batcher Should batch by size,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,Batcher Should stagger flushes,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,Batcher Should force then stagger flushes,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Should prompt to upgrade,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Should allow null capacity,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Should keep scope,2,13,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Should pass multiple arguments back even on errors when using submit(),0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Should expose the Events library,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Counts and statuses Should check() and return the queued count with and without a priority value,2,13,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Counts and statuses Should return the running and done counts,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Counts and statuses Should refuse duplicate Job IDs,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Counts and statuses Should return job statuses,2,13,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Counts and statuses Should return jobs for a status,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Counts and statuses Should trigger events on status changes,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Events Should return itself,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Events Should fire events on empty queue,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Events Should fire events once,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Events Should support faulty event listeners,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Events Should wait for async event listeners,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General High water limit Should support highWater set to 0,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General High water limit Should support highWater set to 1,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Weight Should not add jobs with a weight above the maxConcurrent,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Weight Should support custom job weights,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Weight Should overflow at the correct rate,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Expiration Should cancel jobs,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Pubsub Should pass strings,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Pubsub Should pass objects,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Reservoir Refresh Should auto-refresh the reservoir,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Reservoir Refresh Should allow staggered X by Y type usage,1,10,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Reservoir Refresh Should keep process alive until queue is empty,0,7,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Reservoir Increase Should auto-increase the reservoir,5,22,0,0
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Reservoir Increase Should auto-increase the reservoir up to a maximum,1,10,2,1
/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck,test,General Reservoir Increase Should allow staggered X by Y type usage,0,7,0,0
