BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,Total_duration_s,HasEventRace
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support copy,197,0.001597444089456869,6,0.0014211274277593558,457.36439299955964,0.01456050007673479,1,0.02040816326530612,6,0.0449438202247191,0,0,0,0,3,0.002061855670103093,7.047,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support emptyDir,194,0.0012551346417161114,6,0.0014211274277593558,386.6446390012279,0.012292388323593187,1,0.02040816326530612,6,0.0449438202247191,0,0,0,0,3,0.002061855670103093,6.834,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support ensureFile,194,0.0012551346417161114,6,0.0014211274277593558,330.61353099904954,0.010495368291477616,1,0.02040816326530612,2,0,0,0,0,0,3,0.002061855670103093,6.454,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support ensureDir,195,0.0013692377909630307,6,0.0014211274277593558,564.6054270006716,0.017999916023271004,1,0.02040816326530612,5,0.033707865168539325,0,0,0,0,3,0.002061855670103093,6.723,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support mkdirs,195,0.0013692377909630307,6,0.0014211274277593558,570.1563619980589,0.018177944653132983,1,0.02040816326530612,4,0.02247191011235955,0,0,0,0,3,0.002061855670103093,6.443,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support move,193,0.0011410314924691922,6,0.0014211274277593558,172.43147200066596,0.005422180577068488,1,0.02040816326530612,4,0.02247191011235955,0,0,0,0,3,0.002061855670103093,6.608,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support readJson,193,0.0011410314924691922,5,0.0009474182851729038,13.443984999321401,0.00032316131466121075,0,0,6,0.0449438202247191,0,0,0,0,3,0.002061855670103093,6.874,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support readJSON,193,0.0011410314924691922,5,0.0009474182851729038,28.134969000704587,0.0007943280197877374,0,0,5,0.033707865168539325,0,0,0,0,3,0.002061855670103093,6.899,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support remove,195,0.0013692377909630307,6,0.0014211274277593558,456.65769399888813,0.014537834948270198,1,0.02040816326530612,5,0.033707865168539325,0,0,0,0,3,0.002061855670103093,6.768,Undefined
fs-extra,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/fs-extra/jprichardson_node-fs-extra/lib/__tests__/promise.test.js,promise support provides fse.promises API,193,0.0011410314924691922,4,0.0004737091425864519,5.693346000276506,0.00007458415744278922,0,0,4,0.02247191011235955,0,0,0,0,2,0.0010309278350515464,6.992,Undefined
