BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"should delete files - async",71,0.7931034482758621,10,0.8333333333333334,1165.2334449999034,0.7684509739304407,5,1,2,0,0,0,0,0,3,1,20,0.8571428571428571,34,0.2155612244897959,0,0,162,0.9326923076923077,100,1,0,0,"8.135",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"should delete files - sync",65,0.5862068965517241,5,0,877.4676640003454,0.4475481574200099,3,0.3333333333333333,4,1,0,0,0,0,3,1,2,0,95.5,1,0,0,104,0.375,100,1,0,0,"8.126",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"should take account of options - async",77,1,11,1,1372.8722779997624,1,5,1,2,0,0,0,0,0,3,1,23,1,32.91304347826087,0.20169698314108245,0,0,169,1,100,1,0,0,"8.211",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"should take account of options - sync",70,0.7586206896551724,5,0,738.5325379997957,0.2926142626013051,3,0.3333333333333333,4,1,0,0,0,0,3,1,2,0,64.5,0.6045918367346939,0,0,74,0.08653846153846154,100,1,0,0,"7.689",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"cwd option - sync",49,0.034482758620689655,5,0,476.1341809995938,0,2,0,3,0.5,0,0,0,0,3,1,2,0,49.5,0.41326530612244894,0,0,65,0,100,1,0,0,"7.632",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"cwd option - async",53,0.1724137931034483,8,0.5,798.0354509998579,0.35896910265897125,4,0.6666666666666666,2,0,0,0,0,0,3,1,14,0.5714285714285714,18.928571428571427,0.023323615160349816,0,0,100,0.33653846153846156,100,1,0,0,"7.980",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"return deleted files - sync",48,0,5,0,691.1017820003908,0.2397217222285099,3,0.3333333333333333,2,0,0,0,0,0,3,1,2,0,78,0.7767857142857142,0,0,90,0.2403846153846154,100,1,0,0,"7.541",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"return deleted files - async",52,0.13793103448275862,8,0.5,809.0349419999402,0.37123521584952107,4,0.6666666666666666,2,0,0,0,0,0,3,1,14,0.5714285714285714,30.785714285714285,0.1745626822157434,0,0,128,0.6057692307692307,100,1,0,0,"7.640",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/test.js,"options are optional",51,0.10344827586206896,6,0.16666666666666666,729.4171150000766,0.28244917311730444,3,0.3333333333333333,2,0,0,0,0,0,3,1,10,0.38095238095238093,17.1,0,0,0,72,0.0673076923076923,100,1,0,0,"7.913",Undefined
del,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/del/testissue43.js,"should reveal event race",66,0.6206896551724138,10,0.8333333333333334,1062.679304000223,0.6540874364129072,4,0.6666666666666666,2,0,0,0,0,0,3,1,7,0.23809523809523808,40,0.29209183673469385,0,0,108,0.41346153846153844,100,1,0,0,"7.956",True
