BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/api.js,"API () should work if all params are set",618,0,12,0,4211.403977997601,0.022305084920466282,4,0,2,0,0,0,0,0,7,0,2,1,45,0.0002854288568574283,0,0,53,0,100,1,0,0,"20.043",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/formatter.json.js,"formatter.json log() should write a new json file",1223,0.0045916818457802065,20,0.0006926406926406926,4402.80689098686,0.02582477140870394,6,0.05714285714285714,9,0.23333333333333334,0,0,0,0,10,0.0005195704883962591,2,1,72.5,0.008134722420436707,0,0,80,0.0077076791321724234,100,1,0,0,"18.571",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/maxage.js,"maxage () should create 6 files and delete 4",2636,0.0153157255616272,54,0.0036363636363636364,18727.70123000443,0.28924363093934047,17,0.37142857142857144,7,0.16666666666666666,0,0,0,0,31,0.004156563907170073,2,1,50,0.0017125731411445698,0,0,64,0.003140165572366543,100,1,0,0,"23.021",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/maxfiles.js,"maxfiles () should create 6 files and delete 4",3734,0.023649058894960533,90,0.006753246753246753,24162.1964700073,0.389177948384673,24,0.5714285714285714,13,0.36666666666666664,0,0,0,0,37,0.005195704883962591,2,1,51.5,0.0021407164264307123,0,0,60,0.0019982871824150727,100,1,0,0,"22.204",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/nameclash.js,"nameclash () should write tow new files",132378,1,142,0.011255411255411256,57379.109506994486,1,39,1,32,1,0,0,0,0,66,0.010218219605126429,2,1,60.5,0.004709576138147566,0,0,76,0.006565800742220953,100,1,0,0,"49.251",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/roll.js,"roll () should write tow new files",41689,0.311710686095932,11562,1,30700.699171952903,0.5094137340053172,9,0.14285714285714285,9,0.23333333333333334,0,0,0,0,5781,1,2,1,87.5,0.01241615527329813,0,0,97,0.012560662289466172,100,1,0,0,"34.365",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/startup.js,"startup () should create file on first try",1215,0.004530965391621129,13,0.00008658008658008658,3294.7500449866056,0.005448839568600815,5,0.02857142857142857,3,0.03333333333333333,0,0,0,0,7,0,2,1,49.5,0.0015698587127158557,0,0,64,0.003140165572366543,100,1,0,0,"10.486",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/startup.js,"startup () should open file on second try",1216,0.004538554948391014,12,0,2998.438492998481,0,5,0.02857142857142857,2,0,0,0,0,0,7,0,2,1,44,0,0,0,59,0.0017128175849272054,100,1,0,0,"28.677",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/startup.js,"startup () should create file because of age",1229,0.0046372191863995145,17,0.0004329004329004329,8891.056440986693,0.1083586840344729,6,0.05714285714285714,2,0,0,0,0,0,9,0.00034638032559750607,2,1,3547.5,1,0,0,3556,1,100,1,0,0,"13.205",Undefined
node-logger-file-1,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/node-logger-file-1/test/triggerRace.js,"triggerRace () should create 6 files and roll 5",2546,0.014632665452337584,46,0.0029437229437229437,22108.543050952256,0.35141354826304716,18,0.4,11,0.3,0,0,0,0,20,0.0022514721163837893,2,1,47,0.0008562865705722849,0,0,62,0.002569226377390808,100,1,0,0,"12.205",True
