BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read sheet name",5609,0.03346797461050202,38,0.6031746031746031,11302.942926997319,0.41927016735065736,8,0.6153846153846154,3,0,0,0,0,0,9,0.5,720,0.5,255.94305555555556,0.11791144839788781,0,0,10080,0.29703876472498597,100,1,0,0,"14.305",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read by sheet name",5938,0.0354455183689171,63,1,13172.72901299037,0.4886278143145969,13,1,3,0,0,0,0,0,16,1,1438,1,406.98470097357443,0.19307524308214702,0,0,33890,1,100,1,0,0,"13.827",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read by sheet id",373,0.0019955760723216003,26,0.4126984126984127,3587.401283999905,0.13307068313191706,7,0.5384615384615384,3,0,0,0,0,0,9,0.5,720,0.5,290.44305555555553,0.13507989826103783,0,0,11581,0.3413539606152756,100,1,0,0,"9.136",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read all columns and rows",5620,0.033534093094825926,38,0.6031746031746031,12507.244923001155,0.4639424179907299,8,0.6153846153846154,3,0,0,0,0,0,9,0.5,720,0.5,332.9013888888889,0.15620870310469714,0,0,12967,0.38227392164388413,100,1,0,0,"13.791",True
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read all columns and all but the first row",5609,0.03346797461050202,37,0.5873015873015873,11387.329141002148,0.42240038063196006,8,0.6153846153846154,3,0,0,0,0,0,9,0.5,720,0.5,309.6986111111111,0.14466216029415832,0,0,12334,0.3635853680139352,100,1,0,0,"13.543",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read all columns and non-empty-rows",5599,0.033407866897480286,37,0.5873015873015873,9152.093431996182,0.3394867840725497,7,0.5384615384615384,3,0,0,0,0,0,9,0.5,720,0.5,287.55555555555554,0.13364297365292638,0,0,11423,0.3366892031531398,100,1,0,0,"13.789",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read all raw cell values",4717,0.028106366608963262,38,0.6031746031746031,10333.838693995029,0.38332231761140007,8,0.6153846153846154,3,0,0,0,0,0,9,0.5,720,0.5,341.3222222222222,0.16039921484061817,0,0,13298,0.3920462932892445,100,1,0,0,"13.066",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx extract should read and format all cell values",5623,0.033552125408732446,38,0.6031746031746031,11882.326394997537,0.44076175632510406,8,0.6153846153846154,3,0,0,0,0,0,9,0.5,720,0.5,311.625,0.14562080119432694,0,0,12099,0.35664727938354346,100,1,0,0,"14.363",Undefined
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx utils should match column conversation",166409,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,191.5,0.08584224931575019,0,0,192,0.005107614183224587,100,1,0,0,"36.520",False
xlsx-extract,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/known-bugs/xlsx-extract/test/tests.js,"xlsx utils should detect right number format types",1021,0.005890555876130025,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,19,0,0,0,19,0,100,1,0,0,"9.382",False
